Name,Series,Description,Author,Age,Rating_out_of_5,No_of_Ratings,Price,Price_Befor,Cover_Type,Publication_Date,Product_Details,Best_Seller,Link
Percy Jackson and the Olympians 5 Book Paperback Boxed Set (new covers w/poster) (Percy Jackson & the Olympians),,"
All five books in the blockbuster Percy Jackson and the Olympians series, in paperback, collected in a boxed set fit for demigods, complete with a bonus poster!Now with glorious new cover art and packaged with a special poster, this value-priced set includes the best-selling The Lightning Thief, The Sea of Monsters, The Titan's Curse, The Battle of the Labyrinth, and The Last Olympian. Accompany the son of the sea god Poseidon and his other demigod friends as they go on a series of quests that will have them facing monsters, gods, and conniving figures from Greek mythology. Do they have what it takes to save the Olympians from an ancient enemy?Whether it is for readers who are experiencing Percy's funny and thrilling adventures for the first time, or for fans who want to devour the saga again, this gift will be prized by readers aged 8-80.This beloved series, read in schools across the world, has inspired two motion pictures and a Broadway musical. It is currently in development for a television series on Disney+,

",Rick Riordan,Ages: 8 - 12 years,4.9,16.771,$21.00,$35.00,Hardcover,2014-06-03,"



Product details





Publisher
:

Disney-Hyperion; Box Pap/Ps edition (June 3, 2014)


Language
:

English


Hardcover
:

1840 pages


ISBN-10
:

1484707230


ISBN-13
:

978-1484707234


Reading age
:

8 - 12 years


Grade level
:

3 - 7


Item Weight
:

3.05 pounds


Dimensions
:

5.65 x 4.65 x 7.95 inches






Best Sellers Rank:

#195 in Books (See Top 100 in Books)

 #1 in Children's Greek & Roman Books
 #4 in Children's Action & Adventure Books (Books)
 #5 in Children's Fantasy & Magic Books






Customer Reviews:







4.9 out of 5 stars








16,771 ratings












",in Children's Greek & Roman Books,https://www.amazon.com/Jackson-Olympians-Paperback-covers-poster/dp/1484707230/ref=sr_1_11?dchild=1&pf_rd_i=4&pf_rd_p=f92327d7-7b1b-5fb4-82be-5400739bec4f&pf_rd_r=DD6Z1HDJS8TPFG2MAF2E&pf_rd_s=merchandised-search-11&pf_rd_t=BROWSE&qid=1610894281&refinements=p_72%3A1250221011&s=books&sr=1-11
The Deep End (Diary of a Wimpy Kid Book 15),Book 15 of 15: Diary Of A Wimpy Kid,"
An instant #1 USA Today, Wall Street Journal, and New York Times bestseller!  In The Deep End, book 15 of the Diary of a Wimpy Kid series from #1 international bestselling author Jeff Kinney, Greg Heffley and his family hit the road for a cross-country camping trip, ​ready for the adventure of a lifetime.    But things take an unexpected turn, and they find themselves stranded at an RV park that’s not exactly a summertime paradise. When the skies open up and the water starts to rise, the Heffleys wonder if they can save their vacation—or if they’re already in too deep.   And don’t miss Rowley Jefferson’s Awesome Friendly Adventure, an all-new fantasy from Greg’s best friend—the follow-up to the instant #1 bestseller Diary of an Awesome Friendly Kid: Rowley Jefferson’s Journal.  

",Jeff Kinney,Ages: 8 - 12 years,4.9,20.664,$7.38,$14.99,Hardcover,2020-10-27,"



Product details





Publisher
:

Harry N. Abrams; Illustrated edition (October 27, 2020)


Language
:

English


Hardcover
:

224 pages


ISBN-10
:

1419748688


ISBN-13
:

978-1419748684


Reading age
:

8 - 12 years


Grade level
:

3 - 7


Item Weight
:

13.6 ounces


Dimensions
:

5.75 x 0.88 x 8.38 inches






Best Sellers Rank:

#106 in Books (See Top 100 in Books)

 #1 in Children's Historical Fiction (Books)
 #1 in Children's Travel Books (Books)
 #2 in Children's Humorous Comics & Graphic Novels






Customer Reviews:







4.9 out of 5 stars








20,664 ratings












",in Children's Travel Books,https://www.amazon.com/Deep-End-Diary-Wimpy-Book/dp/1419748688/ref=sr_1_12?dchild=1&pf_rd_i=4&pf_rd_p=f92327d7-7b1b-5fb4-82be-5400739bec4f&pf_rd_r=DD6Z1HDJS8TPFG2MAF2E&pf_rd_s=merchandised-search-11&pf_rd_t=BROWSE&qid=1610894281&refinements=p_72%3A1250221011&s=books&sr=1-12
Cat Kid Comic Club: From the Creator of Dog Man,Book 1 of 1: Cat Kid Comic Club,"
A pioneering new graphic novel series by Dav Pilkey, the author and illustrator of the internationally bestselling Dog Man and Captain Underpants series.In Cat Kid Comic Club, Li'l Petey, Flippy, and Molly introduce twenty-one rambunctious, funny, and talented baby frogs to the art of comic making. As the story unwinds with mishaps and hilarity, readers get to see the progress, mistakes, and improvements that come with practice and persistence.Squid Kid and Katydid, Baby Frog Squad, Monster Cheese Sandwich, and Birds Flowers Trees: A Haiku Photo Comic are just some of the mini-comics that are included as stories-within-the-story, each done in a different style, utilizing humor and drama, prose and poetry, illustrated in different media including acrylics, pastels, colored pencils, felt-tip markers, clay, hand-made cardboard sculptures, photographs, pipe cleaners, construction paper collages, and cookies.Readers of all ages will be inspired to dream up their own stories and unleash their own creativity as they dive into this new graphic novel adventure from Dav Pilkey and his heartfelt, humorous, and amazing cast of characters in the Cat Kid Comic Club.

",Dav Pilkey,Ages: 7 years and up,4.9,4.981,$7.20,$12.99,Hardcover,2020-12-01,"



Product details





Publisher
:

Graphix (December 1, 2020)


Language
:

English


Hardcover
:

176 pages


ISBN-10
:

1338712764


ISBN-13
:

978-1338712766


Reading age
:

7 years and up


Lexile measure
:

GN520L


Grade level
:

2 and up


Item Weight
:

14.8 ounces


Dimensions
:

5.7 x 0.7 x 8.2 inches






Best Sellers Rank:

#73 in Books (See Top 100 in Books)

 #1 in Children's Superhero Comics
 #1 in Children's Cat Books (Books)
 #1 in Children's Humorous Comics & Graphic Novels






Customer Reviews:







4.9 out of 5 stars








4,981 ratings












",in Children's Superhero Comics,https://www.amazon.com/Cat-Kid-Comic-Club-Creator/dp/1338712764/ref=sr_1_13?dchild=1&pf_rd_i=4&pf_rd_p=f92327d7-7b1b-5fb4-82be-5400739bec4f&pf_rd_r=DD6Z1HDJS8TPFG2MAF2E&pf_rd_s=merchandised-search-11&pf_rd_t=BROWSE&qid=1610894281&refinements=p_72%3A1250221011&s=books&sr=1-13
The Ickabog,,"
From J.K. Rowling, a warm, fast-paced, funny fairy tale of a fearsome monster, thrilling adventure, and hope against all odds.Once upon a time there was a tiny kingdom called Cornucopia, as rich in happiness as it was in gold, and famous for its food. From the delicate cream cheeses of Kurdsburg to the Hopes-of-Heaven pastries of Chouxville, each was so delicious that people wept with joy as they ate them.But even in this happy kingdom, a monster lurks. Legend tells of a fearsome creature living far to the north in the Marshlands... the Ickabog. Some say it breathes fire, spits poison, and roars through the mist as it carries off wayward sheep and children alike. Some say it's just a myth...And when that myth takes on a life of its own, casting a shadow over the kingdom, two children - best friends Bert and Daisy - embark on a great adventure to untangle the truth and find out where the real monster lies, bringing hope and happiness to Cornucopia once more.Featuring full color illustrations by children from across the United States and Canada, this original fairy tale from one of the world's most celebrated storytellers will captivate readers of all ages.

",J K Rowling,Ages: 8 years and up,4.8,6.7,$13.49,$26.99,Hardcover,2020-11-10,"



Product details





Publisher
:

Scholastic Inc.; Illustrated edition (November 10, 2020)


Language
:

English


Hardcover
:

304 pages


ISBN-10
:

1338732870


ISBN-13
:

978-1338732870


Reading age
:

8 years and up


Grade level
:

3 and up


Item Weight
:

1.65 pounds


Dimensions
:

6 x 1.2 x 9.1 inches






Best Sellers Rank:

#234 in Books (See Top 100 in Books)

 #1 in Children's Spine-Chilling Horror
 #3 in Children's Friendship Books
 #5 in Children's Folk Tales & Myths (Books)






Customer Reviews:







4.8 out of 5 stars








6,700 ratings












",in Children's Spine-Chilling Horror,https://www.amazon.com/Ickabog-J-K-Rowling/dp/1338732870/ref=sr_1_14?dchild=1&pf_rd_i=4&pf_rd_p=f92327d7-7b1b-5fb4-82be-5400739bec4f&pf_rd_r=DD6Z1HDJS8TPFG2MAF2E&pf_rd_s=merchandised-search-11&pf_rd_t=BROWSE&qid=1610894281&refinements=p_72%3A1250221011&s=books&sr=1-14
"Magic Tree House Boxed Set, Books 1-4: Dinosaurs Before Dark, The Knight at Dawn, Mummies in the Morning, and Pirates Past Noon",Book 1 of 3: Magic Tree House (R),"
Visit the magic tree house and start a time traveling adventure with the first four stories in the #1 bestselling chapter book series of all time! Four books included in one perfectly giftable box set! Meet Jack and Annie! Jack and his younger sister, Annie, are just regular kids. But when they discover a tree house in the woods, something magical happens. Jack and Annie are whisked back in time to the Age of Dinosaurs, a medieval castle, ancient pyramids, and treasure-seeking pirates.    Books in this set include: Dinosaurs Before Dark (#1), The Knight at Dawn (#2), Mummies in the Morning (#3), and Pirates Past Noon (#4). The Magic Tree House series has been a classroom favorite for over 25 years and is sure to inspire a love of reading—and adventure—in every child who joins Jack and Annie! Did you know that the Magic Tree House series has two levels? MAGIC TREE HOUSE: Perfect for readers 6-9 who are just beginning to read chapter books—includes this boxed set! MERLIN MISSIONS: More challenging adventures for experienced readers ages 7-10

",Mary Pope Osborne,Ages: 8 - 9 years,4.8,9.449,$14.99,$23.96,Paperback,2001-05-29,"



Product details





ASIN
:

0375813659


Publisher
:

Random House Books for Young Readers; Illustrated edition (May 29, 2001)


Language
:

English


Paperback
:

80 pages


ISBN-10
:

9780375813658


ISBN-13
:

978-0375813658


Reading age
:

8 - 9 years


Lexile measure
:

240L


Grade level
:

1 - 4


Item Weight
:

9.6 ounces


Dimensions
:

5.25 x 1 x 7.75 inches






Best Sellers Rank:

#125 in Books (See Top 100 in Books)

 #1 in Children's Fantasy & Magic Books
 #1 in Children's Folk Tale & Myth Anthologies
 #1 in Children's Action & Adventure Books (Books)






Customer Reviews:







4.8 out of 5 stars








9,449 ratings












",in Children's Fantasy & Magic Books,https://www.amazon.com/Magic-Tree-House-Boxed-Books/dp/0375813659/ref=sr_1_15?dchild=1&pf_rd_i=4&pf_rd_p=f92327d7-7b1b-5fb4-82be-5400739bec4f&pf_rd_r=DD6Z1HDJS8TPFG2MAF2E&pf_rd_s=merchandised-search-11&pf_rd_t=BROWSE&qid=1610894281&refinements=p_72%3A1250221011&s=books&sr=1-15
The Dark Secret (Wings of Fire Graphic Novel #4): A Graphix Book (4),Book 4 of 1: Wings of Fire Graphic Novel,"
The #1 New York Times bestselling Wings of Fire series soars to new heights in the fourth graphic novel adaptation!In the shadows, trouble is brewing . . .When Starflight is stolen by his own tribe, he hopes to at least discover some of the long-held NightWing secrets -- what magical powers they really have, who they're allied with in the war, and where they've been living all this time.But the truth about Starflight's tribe is more terrible than he ever imagined: Not only do the NightWings live in a dark, miserable place, but they've imprisoned several innocent RainWings there, too. Stranded and alone, Starflight only wants to get back to his friends. But the fate of two kingdoms now rests in his talons, and with no one to save him, Starflight will have to find a way to be brave . . . before it's too late.

",Tui T. Sutherland,Ages: 8 - 12 years,4.9,846.0,$11.04,$12.99,Paperback,2020-12-29,"



Product details





Publisher
:

Graphix (December 29, 2020)


Language
:

English


Paperback
:

224 pages


ISBN-10
:

1338344218


ISBN-13
:

978-1338344219


Reading age
:

8 - 12 years


Lexile measure
:

80L


Grade level
:

3 - 7


Item Weight
:

15.2 ounces


Dimensions
:

6 x 0.4 x 9 inches






Best Sellers Rank:

#153 in Books (See Top 100 in Books)

 #1 in Children's Dragon, Unicorn & Mythical Stories
 #1 in Children's Fantasy Comics & Graphic Novels
 #2 in Children's Fantasy & Magic Books






Customer Reviews:







4.9 out of 5 stars








846 ratings












",in Children's Fantasy Comics & Graphic Novels,https://www.amazon.com/Dark-Secret-Wings-Graphic-Novel/dp/1338344218/ref=sr_1_16?dchild=1&pf_rd_i=4&pf_rd_p=f92327d7-7b1b-5fb4-82be-5400739bec4f&pf_rd_r=DD6Z1HDJS8TPFG2MAF2E&pf_rd_s=merchandised-search-11&pf_rd_t=BROWSE&qid=1610894281&refinements=p_72%3A1250221011&s=books&sr=1-16
"School Zone - Big Preschool Workbook - Ages 3 to 5, Colors, Shapes, Numbers 1-10, Early Math, Alphabet, Pre-Writing, Phonics, Following Directions, and More (School Zone Big Workbook Series)",,"
School Zone products shipped and sold by Amazon are genuine and authentic. Products sold by other sellers may be of lesser quality and are not guaranteed by School Zone. Find our complete line of educational resources at Amazon.com/SchoolZonePublishing. BOOK FEATURES  320 pages: 319 activity pages, 1 award certificate For ages 3-5 7.75"" x 10.75"" pages with durable glossy cover Book has 5 sections with Parent notes for each: Pre-writing, Alphabet, Colors & Shapes, Following Directions, Numbers & Early Math The skill being practiced is listed at the bottom of each page Colorful, kid friendly illustrations reinforce the lessons Concepts flow from easy to more difficult, and pages are perforated to easily tear out for individual worksheets  AMAZING - Big Preschool Workbook has 300+ colorful exercises that make learning fun! An A+ adventure unfolds, as kids encounter sensational squares and rocking rectangles, a giant newt reading the newspaper and a dinosaur playing the drums. Bold, bright colors and illustrations ease little ones into learning without feeling overwhelmed. Lessons focus on must-know readiness basics, and help little ones learn colors, shapes, the alphabet letters, primary phonics, and pre-writing skills. This is more than just an abc book, kids can also learn numbers, basic math, and following directions. Activities appear in order of increasing difficulty, so preschoolers stay challenged until the end, constantly expanding their skills through reinforcement learning. With the colorful and kid friendly illustrations and easy directions and visual clues, this preschool workbook is fun and easy to use. WORKBOOKS FOR KIDS - Using kids workbooks is a great way to improve learning. Writing by hand, as opposed to typing on a computer, fires up specific areas of a child's brain, improving their ability to not only remember what he or she learns but to think of new ideas. When kids finish the workbook, you can fill out the included “Great Job! You’re #1” completion certificate to reward a job well done. PREPARATION - Let us help you prepare your young children for the next grade level with our workbooks, flashcards, card games, early reading books, and online learning program – Anywhere Teacher. Keep kids ""classroom ready"" with these great supplemental learning tools and more! AWARD WINNING - School Zone content has won The Parents’ Choice Foundation Award, Tillywig Toy Awards, Brainchild Award, Family Choice Award, Mom's Choice Awards Honoring Excellence, Gold Star Toy Scholastic Parent and Child Award and many more. OUR STORY - More than 40 years ago, long-time educators James Hoffman, Ed.D., and his wife Joan Hoffman, M.A., began a retail supply outlet for teachers, then soon identified a need for at-home learning materials to help parents support and supplement their children’s classroom instruction. School Zone Publishing fast emerged as the market leader in workbooks and flashcards for preschoolers through sixth graders. School Zone remains family-owned, focused on excellence, responsive to customers, alert to emerging technology, and committed to the community. We continually update our products with new features and content, reflective of changing standards, evolving teaching methods, and overall best practices.

",School Zone,Ages: 3 - 5 years,4.8,42.288000000000004,$8.19,$12.99,Paperback,2018-06-07,"



Product details





Publisher
:

School Zone Publishing; BIG Workbook edition (June 7, 2018)


Language
:

English


Paperback
:

320 pages


ISBN-10
:

0887431453


ISBN-13
:

978-0887431456


Reading age
:

3 - 5 years


Item Weight
:

1.4 pounds


Dimensions
:

7.7 x 0.8 x 10.6 inches






Best Sellers Rank:

#59 in Books (See Top 100 in Books)

 #1 in Children's School Issues
 #1 in Children's General Study Aid Books
 #3 in Children's Activity Books (Books)






Customer Reviews:







4.8 out of 5 stars








42,288 ratings












",in Children's General Study Aid Books,https://www.amazon.com/School-Zone-Preschool-Pre-Writing-Pre-Reading/dp/0887431453/ref=sr_1_17?dchild=1&pf_rd_i=4&pf_rd_p=f92327d7-7b1b-5fb4-82be-5400739bec4f&pf_rd_r=DD6Z1HDJS8TPFG2MAF2E&pf_rd_s=merchandised-search-11&pf_rd_t=BROWSE&qid=1611149061&refinements=p_72%3A1250221011&s=books&sr=1-17
Paint by Sticker Kids: Zoo Animals: Create 10 Pictures One Sticker at a Time!,,"
Paint a zoo full of animals with stickers!Step 1: Find the stickerStep 2: Peel the stickerStep 3: Place the sticker …and watch your animal painting come to life! Includes everything you need to create ten sticker paintings on study card stock. Plus, all the pages are perforated—making it easy to tear out each finished work to frame and share!  

",Workman Publishing,Ages: 5 - 12 years,4.8,10.997,$5.90,$9.95,Paperback,2016-09-20,"



Product details





Publisher
:

Workman Publishing Company; Illustrated edition (September 20, 2016)


Language
:

English


Paperback
:

34 pages


ISBN-10
:

0761189602


ISBN-13
:

978-0761189602


Reading age
:

5 - 12 years


Grade level
:

Kindergarten - 6


Item Weight
:

8 ounces


Dimensions
:

9 x 0.25 x 9 inches






Best Sellers Rank:

#107 in Books (See Top 100 in Books)

 #1 in Children's Sculpture Books (Books)
 #1 in Children's Art Techniques
 #1 in Children's Zoo Books (Books)






Customer Reviews:







4.8 out of 5 stars








10,997 ratings












",in Children's Zoo Books,https://www.amazon.com/Paint-Sticker-Kids-Animals-Pictures/dp/0761189602/ref=sr_1_18?dchild=1&pf_rd_i=4&pf_rd_p=f92327d7-7b1b-5fb4-82be-5400739bec4f&pf_rd_r=DD6Z1HDJS8TPFG2MAF2E&pf_rd_s=merchandised-search-11&pf_rd_t=BROWSE&qid=1611149061&refinements=p_72%3A1250221011&s=books&sr=1-18
First Little Readers Parent Pack: Guided Reading Level A: 25 Irresistible Books That Are Just the Right Level for Beginning Readers,,"
Jumpstart reading success with this big collection of motivating storybooks correlated with Guided Reading Level A. Most pages of these full-color storybooks feature just one line of simple, repetitive text to help children learn to read with ease and confidence. Includes a tip-filled parent guide. A great value!Includes these 25 titles:1. Hello, Beach2. What Can I See?3. Cold Rose4. Birthday Surprise 5. Fun with Mud6. I Like School!7. What is for Supper?8. Fun at the Playground9. Look What I Found!10. What Shines?11. Bubbles12. What Do I Need?13. Where is Petey?14. HIDE AND SEEK15. HATS, HATS, HATS16. SHAPES FOR LUNCH17. WINTER IS HERE18. WHAT IS READ19. I LIKE STRIPES20. WHEN NIGHT COMES21. SWEET TREAT22. I CAN DRAW!23. ALMOST SPRING24. HURRY UP! HURRY UP!25. CLASS PETS For use with Grades PreK-2.

",Deborah Schecter,Ages: 4 - 7 years,4.7,15.142000000000001, $10.20,,Paperback,2010-10-01,"



Product details





ASIN
:

0545231493


Publisher
:

Scholastic Teaching Resources (Teaching Strategies); Illustrated edition (October 1, 2010)


Language
:

English


ISBN-10
:

9780545231497


ISBN-13
:

978-0545231497


Reading age
:

4 - 7 years


Grade level
:

Preschool - 2


Item Weight
:

15.2 ounces


Dimensions
:

5.9 x 1.6 x 5.7 inches






Best Sellers Rank:

#136 in Books (See Top 100 in Books)

 #1 in Parent Participation in Education (Books)
 #1 in Reading & Phonics Teaching Materials
 #1 in Individual Artists (Books)






Customer Reviews:







4.7 out of 5 stars








15,142 ratings












",in Individual Artists,https://www.amazon.com/First-Little-Readers-Parent-Pack/dp/0545231493/ref=sr_1_19?dchild=1&pf_rd_i=4&pf_rd_p=f92327d7-7b1b-5fb4-82be-5400739bec4f&pf_rd_r=DD6Z1HDJS8TPFG2MAF2E&pf_rd_s=merchandised-search-11&pf_rd_t=BROWSE&qid=1611149061&refinements=p_72%3A1250221011&s=books&sr=1-19
"Bob Books, Set 1: Beginning Readers",Book 1 of 5: Bob Books set,"
Teach a child letter sounds with Bob Books Set 1! With four letters in the first story, children can read a whole book. Consistent new sounds are added gradually, until young readers have read books with all letters of the alphabet (except Q). Short vowels and three-letter words in simple sentences make Bob Books Set 1 a fun confidence builder. With little books, come big success. (TM)

",Bobby Lynn Maslen,Ages: 4 - 6 years,4.8,11.095,$10.19,$17.99,Paperback,2006-05-01,"



Product details





Publisher
:

Scholastic; Box Pck edition (May 1, 2006)


Language
:

English


Paperback
:

16 pages


ISBN-10
:

0439845009


ISBN-13
:

978-0439845007


Reading age
:

4 - 6 years


Grade level
:

Preschool - 1


Item Weight
:

9.6 ounces


Dimensions
:

5.7 x 1.7 x 5.6 inches






Best Sellers Rank:

#93 in Books (See Top 100 in Books)

 #1 in Early Learning Beginner Readers
 #1 in Children's Beginner Readers
 #2 in Children's Word Books






Customer Reviews:







4.8 out of 5 stars








11,095 ratings












",in Early Learning Beginner Readers,https://www.amazon.com/Bob-Books-Set-Beginning-Readers/dp/0439845009/ref=sr_1_20?dchild=1&pf_rd_i=4&pf_rd_p=f92327d7-7b1b-5fb4-82be-5400739bec4f&pf_rd_r=DD6Z1HDJS8TPFG2MAF2E&pf_rd_s=merchandised-search-11&pf_rd_t=BROWSE&qid=1611149061&refinements=p_72%3A1250221011&s=books&sr=1-20
"Brown Bear, Brown Bear, What Do You See?",Part of: Brown Bear and Friends (4 Books),"
A big happy frog, a plump purple cat, a handsome blue horse, and a soft yellow duck--all parade across the pages of this delightful book. Children will immediately respond to Eric Carle's flat, boldly colored collages. Combined with Bill Martin's singsong text, they create unforgettable images of these endearing animals.

",Bill Martin Jr.,Ages: 2 - 5 years,4.9,23.189,$5.00,$2.32,Board book,1996-09-15,"



Product details





Publisher
:

Henry Holt and Co. (BYR); 25th Anniversary edition (September 15, 1996)


Language
:

English


Board book
:

28 pages


ISBN-10
:

0805047905


ISBN-13
:

978-0805047905


Reading age
:

2 - 5 years


Lexile measure
:

AD200L


Grade level
:

Preschool - Kindergarten


Item Weight
:

8 ounces


Dimensions
:

5.05 x 0.55 x 6.99 inches






Best Sellers Rank:

#54 in Books (See Top 100 in Books)

 #1 in Children's Colors Books
 #2 in Children's Classics
 #2 in Children's Bear Books (Books)






Customer Reviews:







4.9 out of 5 stars








23,189 ratings












",in Children's Colors Books,https://www.amazon.com/Brown-Bear-What-You-See/dp/0805047905/ref=sr_1_21?dchild=1&pf_rd_i=4&pf_rd_p=f92327d7-7b1b-5fb4-82be-5400739bec4f&pf_rd_r=DD6Z1HDJS8TPFG2MAF2E&pf_rd_s=merchandised-search-11&pf_rd_t=BROWSE&qid=1611149061&refinements=p_72%3A1250221011&s=books&sr=1-21
Of Thee I Sing: A Letter to My Daughters,,"
Barack Obama delivers a tender, beautiful letter to his daughters in this powerful picture book illustrated by award-winner Loren Long that's made to be treasured!   In this poignant letter to his daughters, Barack Obama has written a moving tribute to thirteen groundbreaking Americans and the ideals that have shaped our nation. From the artistry of Georgia O'Keeffe, to the courage of Jackie Robinson, to the patriotism of George Washington, Obama sees the traits of these heroes within his own children, and within all of America’s children.   Breathtaking, evocative illustrations by award-winning artist Loren Long at once capture the personalities and achievements of these great Americans and the innocence and promise of childhood.   This beautiful book celebrates the characteristics that unite all Americans, from our nation’s founders to generations to come. It is about the potential within each of us to pursue our dreams and forge our own paths. It is a treasure to cherish with your family forever.

",Barack Obama,Ages: 4 - 8 years,4.9,2.0580000000000003,$6.76,$17.99,Hardcover,2010-11-16,"



Product details





Publisher
:

Knopf Books for Young Readers; 1st edition (November 16, 2010)


Language
:

English


Hardcover
:

40 pages


ISBN-10
:

037583527X


ISBN-13
:

978-0375835278


Reading age
:

4 - 8 years


Lexile measure
:

830L


Grade level
:

Preschool - 3


Item Weight
:

1.25 pounds


Dimensions
:

9.38 x 0.39 x 12.31 inches






Best Sellers Rank:

#57 in Books (See Top 100 in Books)

 #1 in Children's American History
 #3 in Children's Values Books
 #3 in Children's Biographies (Books)






Customer Reviews:







4.9 out of 5 stars








2,058 ratings












",in Children's American History,https://www.amazon.com/Thee-Sing-Letter-My-Daughters/dp/037583527X/ref=sr_1_22?dchild=1&pf_rd_i=4&pf_rd_p=f92327d7-7b1b-5fb4-82be-5400739bec4f&pf_rd_r=DD6Z1HDJS8TPFG2MAF2E&pf_rd_s=merchandised-search-11&pf_rd_t=BROWSE&qid=1611149061&refinements=p_72%3A1250221011&s=books&sr=1-22
Dog Man: Grime and Punishment: From the Creator of Captain Underpants (Dog Man #9) (9),Book 9 of 9: Dog Man,"
The mayor has had enough of Dog Man's shenanigans in the ninth book from worldwide bestselling author and artist Dav Pilkey.Dog Man's really done it this time! He hands over his badge and clears out his desk, but while he may be out of a job, he's not yet out of hope. With his friends at his side, can Dog Man dig himself out of this hole and paw his way back onto the force?Dav Pilkey's wildly popular Dog Man series appeals to readers of all ages and explores universally positive themes, including empathy, kindness, persistence, and the importance of doing good.

",Dav Pilkey,Ages: 7 years and up,4.9,27.255,$6.49,$12.99,Hardcover,2020-09-01,"



Product details





Publisher
:

Graphix; Illustrated edition (September 1, 2020)


Language
:

English


Hardcover
:

240 pages


ISBN-10
:

1338535625


ISBN-13
:

978-1338535624


Reading age
:

7 years and up


Lexile measure
:

GN480L


Grade level
:

2 and up


Item Weight
:

1.23 pounds


Dimensions
:

5.7 x 0.9 x 8.3 inches






Best Sellers Rank:

#120 in Books (See Top 100 in Books)

 #1 in Children's Animal Comics & Graphic Novels
 #2 in Children's Dog Books (Books)
 #2 in Children's Superhero Comics






Customer Reviews:







4.9 out of 5 stars








27,255 ratings












",in Children's Animal Comics & Graphic Novels,https://www.amazon.com/Dog-Man-Punishment-Creator-Underpants/dp/1338535625/ref=sr_1_23?dchild=1&pf_rd_i=4&pf_rd_p=f92327d7-7b1b-5fb4-82be-5400739bec4f&pf_rd_r=DD6Z1HDJS8TPFG2MAF2E&pf_rd_s=merchandised-search-11&pf_rd_t=BROWSE&qid=1611149061&refinements=p_72%3A1250221011&s=books&sr=1-23
